Month,T2M
198201,-21.62
198202,-10.31
198203,-8.68
198204,-2.69
198205,5.44
198206,5.71
198207,14.43
198208,9.47
198209,6.8
198210,-3.54
198211,-4.21
198212,-9.47
198213,-1.52
198301,-12.24
198302,-13.34
198303,-7.92
198304,-2.66
198305,4.1
198306,10.06
198307,14.51
198308,10.14
198309,7
198310,0.96
198311,-8.3
198312,-10.92
198313,-0.64
198401,-11.28
198402,-9.15
198403,-7.45
198404,-4.89
198405,6.24
198406,11.28
198407,15.23
198408,10.48
198409,5.58
198410,-2.24
198411,-11.64
198412,-12.95
198413,-0.86
198501,-24.69
198502,-22.39
198503,-6.77
198504,-4.76
198505,0.75
198506,10.68
198507,12.17
198508,12.36
198509,7.81
198510,0.29
198511,-7.4
198512,-18.95
198513,-3.31
198601,-16.13
198602,-16.53
198603,-4.65
198604,-2.59
198605,2.46
198606,10.01
198607,11.48
198608,9.65
198609,3.82
198610,0.43
198611,-2.61
198612,-16.81
198613,-1.71
198701,-20.47
198702,-16.21
198703,-8.86
198704,-6.13
198705,4.41
198706,10.53
198707,10.96
198708,10
198709,6.45
198710,3.65
198711,-10.58
198712,-14.74
198713,-2.5
198801,-12.97
198802,-11.77
198803,-6.22
198804,-5.84
198805,2.27
198806,11.48
198807,16.02
198808,13.14
198809,6.66
198810,1.32
198811,-11.12
198812,-12.59
198813,-0.75
198901,-13.32
198902,-10.05
198903,-3.81
198904,-1.7
198905,7.19
198906,15.3
198907,14.48
198908,12.23
198909,7.73
198910,-0.36
198911,-7.72
198912,-12.6
198913,0.67
199001,-17.83
199002,-6.25
199003,-5.24
199004,-1.87
199005,2.34
199006,9.95
199007,16.6
199008,11.87
199009,4.48
199010,-1.2
199011,-9.39
199012,-10.28
199013,-0.54
199101,-16.04
199102,-9.67
199103,-11.08
199104,-2.87
199105,4.89
199106,12.73
199107,12.71
199108,11.08
199109,5.8
199110,2.09
199111,-4.79
199112,-13.5
199113,-0.68
199201,-15.3
199202,-9.9
199203,-5.44
199204,-7.7
199205,3.62
199206,8.45
199207,11.96
199208,9.9
199209,9.73
199210,-5.37
199211,-13.11
199212,-6.94
199213,-1.64
199301,-11.13
199302,-10.01
199303,-6.81
199304,-5.01
199305,2.33
199306,11.58
199307,15.28
199308,12.08
199309,3.4
199310,-1.05
199311,-11.09
199312,-14.23
199313,-1.16
199401,-12.43
199402,-14.07
199403,-6.13
199404,-1.17
199405,1.33
199406,11.38
199407,11.51
199408,11.13
199409,6.26
199410,0.1
199411,-12.73
199412,-9.93
199413,-1.15
199501,-9.26
199502,-8.71
199503,-6.57
199504,-1.78
199505,5.28
199506,10.61
199507,12.56
199508,11.15
199509,7.75
199510,1.11
199511,-9.42
199512,-12.75
199513,0.05
199601,-10.2
199602,-12.67
199603,-6.45
199604,-4.17
199605,2.08
199606,8.66
199607,12.14
199608,10.85
199609,4.63
199610,0.91
199611,-3.26
