Month,T2M
198201,-25.63
198202,-16.67
198203,-14.5
198204,-4.86
198205,2.27
198206,5.63
198207,13.91
198208,7.24
198209,4.82
198210,-7.76
198211,-8.98
198212,-12.3
198213,-4.68
198301,-15.63
198302,-17.65
198303,-11.06
198304,-6.72
198305,-1.75
198306,8.39
198307,13.52
198308,8.99
198309,4.99
198310,-1.04
198311,-12.05
198312,-14.71
198313,-3.64
198401,-13.39
198402,-10.71
198403,-8.25
198404,-9.78
198405,-0.19
198406,9.52
198407,14.62
198408,10.26
198409,4.62
198410,-4.43
198411,-17
198412,-15.17
198413,-3.29
198501,-27.83
198502,-26.26
198503,-9.19
198504,-8.3
198505,-3.09
198506,7.97
198507,11.08
198508,10.52
198509,7.14
198510,-2.64
198511,-10.7
198512,-21.66
198513,-5.97
198601,-18.46
198602,-20.18
198603,-7.14
198604,-6.77
198605,-3.78
198606,7.3
198607,8.68
198608,7.38
198609,2.33
198610,-1.85
198611,-5.35
198612,-25.11
198613,-5.17
198701,-24.43
198702,-19.13
198703,-11.27
198704,-11.62
198705,0.84
198706,7.97
198707,12.26
198708,8.2
198709,5.76
198710,2.22
198711,-13.47
198712,-19.24
198713,-5.07
198801,-15.58
198802,-17.21
198803,-8.2
198804,-9.58
198805,-0.73
198806,8.8
198807,14.49
198808,11.71
198809,5.18
198810,-1.35
198811,-13.48
198812,-13.96
198813,-3.26
198901,-19.92
198902,-13.68
198903,-6.13
198904,-6.43
198905,3.8
198906,13.32
198907,14.62
198908,11.14
198909,6.5
198910,-2.29
198911,-10.99
198912,-17.21
198913,-2.21
199001,-22.92
199002,-11.58
199003,-9.57
199004,-3.58
199005,0.71
199006,9.52
199007,17.04
199008,10.37
199009,3.53
199010,-4.06
199011,-15.54
199012,-14.23
199013,-3.31
199101,-18.67
199102,-13.41
199103,-14.65
199104,-3.86
199105,2.8
199106,11.89
199107,11.29
199108,9.63
199109,5.18
199110,0
199111,-9.81
199112,-18.48
199113,-3.13
199201,-20.4
199202,-13.77
199203,-8.59
199204,-12.7
199205,1.34
199206,6.12
199207,10.72
199208,9.3
199209,6.95
199210,-9.05
199211,-18.43
199212,-10.85
199213,-4.9
199301,-13.57
199302,-13.93
199303,-10.17
199304,-7.62
199305,-0.99
199306,14.78
199307,14.74
199308,10.79
199309,3.38
199310,-4.01
199311,-11.28
199312,-15.61
199313,-2.73
199401,-16.51
199402,-22.35
199403,-8.62
199404,-3.15
199405,-2.67
199406,11.04
199407,11.31
199408,9.99
199409,5
199410,-2
199411,-16.21
199412,-12.5
199413,-3.77
199501,-11.16
199502,-10.1
199503,-9.21
199504,-1.83
199505,2.12
199506,7.5
199507,12.38
199508,10.85
199509,6.05
199510,-2.87
199511,-14.12
199512,-16.62
199513,-2.2
199601,-11.87
199602,-16.7
199603,-8.04
199604,-6.86
199605,-0.72
199606,7.82
199607,11.52
199608,7.72
199609,2.01
199610,-0.97
199611,-6.08
199612,-15.27
199613,-3.07
199701,-21.87
199702,-21.59
199703,-11.52
199704,-4.63
199705,0.18
199706,6.81
199707,8.08
199708,8.62
199709,6.3
199710,-2.82
199711,-14.67
199712,-21.29
199713,-5.61
199801,-20.45
199802,-29.88
199803,-11.69
199804,-10.71
199805,-1.94
199806,7.72
199807,16.35
199808,9.52
199809,2.37
199810,-7.25
199811,-19.92
199812,-19.58
199813,-6.96
199901,-27.32
199902,-17.42
199903,-13.55
199904,-8.62
199905,-4.9
199906,6.82
199907,11.1
199908,9.39
199909,4.74
199910,-0.19
199911,-15.26
199912,-13.29
199913,-5.64
200001,-23.45
200002,-15.3
200003,-8.99
200004,-4.21
200005,0.7
200006,10.27
200007,14.27
200008,10.12
200009,5.04
200010,0.69
200011,-9.36
200012,-20.26
200013,-3.35
200101,-17.25
200102,-24.5
200103,-15.28
200104,-4.4
200105,0.76
200106,8.04
200107,12.08
200108,11.63
200109,7.82
200110,-4.43
200111,-13.98
200112,-17.13
200113,-4.6
200201,-21.62
200202,-15.82
200203,-11.27
200204,-4.62
200205,-0.91
200206,6.84
200207,12.68
200208,7.03
200209,2.12
200210,-3.64
200211,-12.78
200212,-18.73
200213,-5
200301,-21.74
200302,-16.03
200303,-11.71
200304,-6.29
200305,1.75
200306,5.76
200307,13.57
200308,15.17
200309,5.61
200310,-0.01
200311,-8.82
200312,-11.62
200313,-2.78
200401,-15.27
200402,-17.5
200403,-15.22
200404,-8.01
200405,1.46
200406,8.14
200407,16.87
200408,9.96
