age;month;avg
1982;1;-25,63
1982;2;-16,67
1982;3;-14,5
1982;4;-4,86
1982;5;2,27
1982;6;5,63
1982;7;13,91
1982;8;7,24
1982;9;4,82
1982;10;-7,76
1982;11;-8,98
1982;12;-12,3
1982;13;-4,68
1983;1;-15,63
1983;2;-17,65
1983;3;-11,06
1983;4;-6,72
1983;5;-1,75
1983;6;8,39
1983;7;13,52
1983;8;8,99
1983;9;4,99
1983;10;-1,04
1983;11;-12,05
1983;12;-14,71
1983;13;-3,64
1984;1;-13,39
1984;2;-10,71
1984;3;-8,25
1984;4;-9,78
1984;5;-0,19
1984;6;9,52
1984;7;14,62
1984;8;10,26
1984;9;4,62
1984;10;-4,43
1984;11;-17
1984;12;-15,17
1984;13;-3,29
1985;1;-27,83
1985;2;-26,26
1985;3;-9,19
1985;4;-8,3
1985;5;-3,09
1985;6;7,97
1985;7;11,08
1985;8;10,52
1985;9;7,14
1985;10;-2,64
1985;11;-10,7
1985;12;-21,66
1985;13;-5,97
1986;1;-18,46
1986;2;-20,18
1986;3;-7,14
1986;4;-6,77
1986;5;-3,78
1986;6;7,3
1986;7;8,68
1986;8;7,38
1986;9;2,33
1986;10;-1,85
1986;11;-5,35
1986;12;-25,11
1986;13;-5,17
1987;1;-24,43
1987;2;-19,13
1987;3;-11,27
1987;4;-11,62
1987;5;0,84
1987;6;7,97
1987;7;12,26
1987;8;8,2
1987;9;5,76
1987;10;2,22
1987;11;-13,47
1987;12;-19,24
1987;13;-5,07
1988;1;-15,58
1988;2;-17,21
1988;3;-8,2
1988;4;-9,58
1988;5;-0,73
1988;6;8,8
1988;7;14,49
1988;8;11,71
1988;9;5,18
1988;10;-1,35
1988;11;-13,48
1988;12;-13,96
1988;13;-3,26
1989;1;-19,92
1989;2;-13,68
1989;3;-6,13
1989;4;-6,43
1989;5;3,8
1989;6;13,32
1989;7;14,62
1989;8;11,14
1989;9;6,5
1989;10;-2,29
1989;11;-10,99
1989;12;-17,21
1989;13;-2,21
1990;1;-22,92
1990;2;-11,58
1990;3;-9,57
1990;4;-3,58
1990;5;0,71
1990;6;9,52
1990;7;17,04
1990;8;10,37
1990;9;3,53
1990;10;-4,06
1990;11;-15,54
1990;12;-14,23
1990;13;-3,31
1991;1;-18,67
1991;2;-13,41
1991;3;-14,65
1991;4;-3,86
1991;5;2,8
1991;6;11,89
1991;7;11,29
1991;8;9,63
1991;9;5,18
1991;10;-6,56
1991;11;-9,81
1991;12;-18,48
1991;13;-3,13
1992;1;-20,4
1992;2;-13,77
1992;3;-8,59
1992;4;-12,7
1992;5;1,34
1992;6;6,12
1992;7;10,72
