name;school;kindergarten;post;library;culture;atm;health;port;airport;shop;pristan;pvz;gas;mfc
Великовисочное;1;0;1;1;1;1;2;1;1;8;1;0;0;1
Усть-Кара;1;1;1;1;1;0;1;1;1;4;1;0;0;0
Коткино;1;0;1;1;1;0;1;1;1;4;1;0;0;1
Щелино;0;0;0;1;1;0;1;1;1;1;1;0;0;0
Каменка;0;0;1;1;0;0;1;1;1;1;1;0;0;0
Лабожское;0;0;1;1;1;0;1;1;1;3;1;0;0;0
Хонгурей;0;0;1;1;1;0;1;1;1;3;1;0;0;0
Оксино;1;0;1;1;1;0;2;1;1;4;1;0;0;1
Тельвиска;1;1;1;1;1;0;1;1;0;2;1;0;0;1
Макарово;0;0;1;1;1;0;1;1;0;2;1;0;0;0
Варандей;0;0;0;0;0;0;0;1;1;1;0;0;0;0
Искателей;1;3;1;1;1;6;3;1;0;18;1;1;1;1
Несь;1;1;1;1;1;0;2;0;1;4;0;0;1;1
Мгла;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Андег;1;0;1;1;1;0;1;1;0;1;1;0;0;0
Куя;0;0;0;1;1;0;1;1;0;1;1;0;0;0
Нельмин-Нос;1;1;1;1;1;0;2;1;0;5;1;0;0;1
Вижас;0;0;1;1;1;0;1;0;1;1;0;0;0;0
Бугрино;1;1;1;1;1;0;1;0;1;4;0;0;0;1
Снопа;0;0;1;1;1;0;1;0;1;0;0;0;0;0
Ома;1;1;1;1;1;0;2;1;1;2;0;0;0;0
Тошвиска;0;0;0;1;1;0;1;1;1;1;1;0;0;0
Пылемец;0;0;1;0;1;0;1;1;1;1;1;0;0;0
Устье;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Индига;1;1;1;1;1;0;2;1;1;2;1;0;0;0
Нижняя Пеша;1;1;1;1;1;0;2;0;1;3;0;0;0;1
Белушье;0;0;1;1;0;0;1;1;1;2;1;0;0;0
Чижа;0;0;1;1;1;0;1;0;1;1;0;0;0;0
Волонга;0;0;0;1;0;0;1;1;1;1;0;0;0;0
Харута;1;1;1;1;1;1;2;1;1;5;1;0;0;0
Шойна;1;0;1;1;1;0;1;1;1;2;1;0;0;0
Кия;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Хорей-Вер;1;1;1;1;1;0;2;0;1;2;0;0;0;1
Варнек;0;0;1;0;1;0;0;1;0;1;1;0;0;0
Каратайка;1;1;1;1;1;1;2;0;1;5;0;0;0;1
Выучейский;0;0;1;0;1;0;1;1;0;2;1;0;0;0
Верхняя Пеша;0;0;1;1;1;0;1;0;0;1;0;0;0;0
Волоковая;0;0;1;1;1;0;1;0;1;2;0;0;0;0
Красное;1;1;1;1;1;1;2;1;0;10;1;1;0;1
Харьягинский;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Амдерма;1;0;1;1;1;0;1;1;1;2;1;0;0;1
Мезень;1;1;1;1;1;1;3;1;1;8;1;1;1;1
