name;school;kindergarten;post;library;culture;atm;health;port;airport;shop
Кепервеем;1;0;1;1;1;0;1;0;1;0
Илирней;1;1;1;1;1;0;1;0;1;0
Островное;1;0;1;1;1;1;1;0;1;0
Анюйск;1;0;1;1;1;0;2;1;1;1
Омолон;1;0;1;1;1;2;2;0;1;1
Черский;1;2;1;1;1;1;3;1;1;9
Нижнеколымск;0;0;0;0;0;0;0;1;0;0
Колымское;1;1;1;1;1;0;2;1;1;1
Андрюшкино;1;1;1;1;1;0;2;0;1;0
Две Виски;0;0;0;0;0;0;0;1;0;0
Ермолово;0;0;0;0;0;0;0;1;0;0
Михалкино;0;0;0;0;0;0;0;1;0;0
Походск;0;1;1;1;1;0;1;1;1;0
Среднеколымск;2;3;1;1;2;1;2;0;1;22
Аргахтах;1;1;1;1;1;0;1;0;1;0
Налимск;1;1;1;1;1;0;1;0;0;0
Ойусардах;1;1;1;1;1;0;1;0;1;0
Сылгы-Ытар;1;1;1;1;1;0;2;0;1;0
Эбях;1;1;1;1;1;1;2;0;1;0
Алеко-Кюёль;1;1;1;1;1;0;1;0;1;0
Берёзовка;1;1;1;1;0;0;1;0;1;0
Сватай;1;1;1;1;1;0;1;0;1;0
Хатынгнах;1;1;1;1;1;0;2;0;1;0
Билибино;1;1;1;1;1;2;3;1;1;9
