name;school;kindergarten;post;library;culture;atm;health;port;airport;shop
Хатанга;1;1;1;1;2;4;3;1;1;3
Волочанка;1;0;1;1;1;0;1;1;1;0
Диксон;1;1;1;1;1;1;1;1;1;2
Кресты;1;1;1;1;1;0;1;1;0;0
Потапово;1;0;1;1;1;0;1;1;1;3
Левинские Пески;0;0;0;1;1;0;0;1;0;0
Хантайское Озеро;1;0;1;1;1;0;1;1;1;2
Новорыбная;1;1;1;1;1;0;0;1;0;0
Казанцево;0;0;0;0;0;0;0;1;0;0
Мунгуй;0;0;0;0;0;0;0;1;0;0
Воронцово;1;1;1;1;1;0;1;1;1;1
Караул;1;0;1;1;1;0;2;1;1;1
Новая;0;0;1;1;1;0;1;1;0;0
Тухард;0;0;1;1;1;0;2;1;1;1
Усть-Порт;1;0;1;1;1;0;1;1;1;0
Катырык;1;1;1;1;1;0;1;1;1;0
Носок;1;0;1;1;1;0;2;1;1;0
Сындасско;1;0;1;1;1;0;0;1;0;0
Жданиха;0;0;1;1;1;0;1;1;0;0
Поликарповск;0;0;0;0;0;0;0;1;0;0
Хета;1;0;1;1;1;0;1;1;0;0
Усть-Авам;0;0;1;1;1;0;1;1;1;0
Байкаловск;0;0;1;1;1;0;1;1;1;0
Попигай;1;0;1;1;1;0;1;1;1;0
Тазовский;1;1;1;1;2;7;3;1;1;18
Находка;1;1;1;1;1;0;1;1;1;0
Антипаюта;1;1;1;1;1;1;2;1;1;2
Газ-Сале;1;1;1;1;1;1;2;1;1;7
Гыда;1;1;1;1;1;2;2;1;1;2
Тибей-Сале;0;0;0;0;0;0;0;1;0;0
Толька;1;1;1;1;1;2;2;0;1;1
Ратта;1;0;1;1;1;0;1;1;1;0
Красноселькуп;2;2;1;1;2;4;3;1;1;20
Киккиакки;0;0;0;0;0;0;0;1;0;0
